product_title,handle,status,product_type,collections,tags,variant_title,option_name,option_value,sku,price,compare_at_price,unit_cost,inventory_qty
Black & Gold Hockey Jersey (14),hockey-jersey,DRAFT,Needlepoint Canvas,Boston|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-5
Black & Gold Hockey Jersey (14),hockey-jersey,DRAFT,Needlepoint Canvas,Boston|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-5
Green Shamrock Hoodie (14),green-shamrock-hoodie,DRAFT,Needlepoint Canvas,Boston|Canvases|St. Paddy's Day,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-10
Green Shamrock Hoodie (14),green-shamrock-hoodie,DRAFT,Needlepoint Canvas,Boston|Canvases|St. Paddy's Day,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-26
Comm Ave Street Sign (14),comm-ave-street-sign,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-2
Comm Ave Street Sign (14),comm-ave-street-sign,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-12
Newbury Street Sign (14),newbury-street-sign,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston|Street Signs,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-8
Newbury Street Sign (14),newbury-street-sign,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston|Street Signs,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-13
Patriot Pl Street Sign (14),patriot-pl-street-sign,DRAFT,Needlepoint Canvas,Boston|New England Sports|Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-13
Patriot Pl Street Sign (14),patriot-pl-street-sign,DRAFT,Needlepoint Canvas,Boston|New England Sports|Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-34
Boston Marathon Bib (14),boston-marathon-bib,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-12
Boston Marathon Bib (14),boston-marathon-bib,DRAFT,Needlepoint Canvas,Boston|Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-42
Anchor (14),anchor,DRAFT,Needlepoint Canvas,Nautical|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-9
Anchor (14),anchor,DRAFT,Needlepoint Canvas,Nautical|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-50
Lighthouse (14),lighthouse,DRAFT,Needlepoint Canvas,Nautical|Canvases,,No,Add kit +$15 (Threads/Needles),No,,50.00,,,-10
Lighthouse (14),lighthouse,DRAFT,Needlepoint Canvas,Nautical|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,65.00,,,-12
Lobster (14),lobster,DRAFT,Needlepoint Canvas,Nautical|Canvases,,No,Add kit +$15 (Threads/Needles),No,,50.00,,,-8
Lobster (14),lobster,DRAFT,Needlepoint Canvas,Nautical|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,65.00,,,-42
Seashell (14),seashell,DRAFT,Needlepoint Canvas,Nautical|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-9
Seashell (14),seashell,DRAFT,Needlepoint Canvas,Nautical|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-13
Buoy (14),buoy,DRAFT,Needlepoint Canvas,Nautical|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-1
Buoy (14),buoy,DRAFT,Needlepoint Canvas,Nautical|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
Martini (14),martini,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-10
Martini (14),martini,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-27
Espresso Martini (14),espresso-martini,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-17
Espresso Martini (14),espresso-martini,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-20
Aperol Spritz (14),aperol-spritz,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-37
Aperol Spritz (14),aperol-spritz,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-118
Cosmopolitan (14),cosmopolitan,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-11
Cosmopolitan (14),cosmopolitan,DRAFT,Needlepoint Canvas,Cocktails|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-37
Heart Matchbox (14),heart-matchbox,DRAFT,Needlepoint Canvas,Galentine's Day|Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,-6
