design,mesh,canvas_price,kit_price,kit_upcharge,handle,collections
Duck Intro Kit,13ct intro,,40.00,,duck-intro-kit,Canvases|Intro
Heart Intro Kit,13ct intro,,40.00,,heart,Canvases|Intro
Horseshoe Intro Kit,13ct intro,,40.00,,horseshoe,Canvases|Intro
Lightning Intro Kit,13ct intro,,40.00,,lightning-intro-kit,Canvases|Intro
Palm Tree Intro Kit,13ct intro,,40.00,,palm-tree-intro-kit,Canvases|Intro
Paw Print Intro Kit,13ct intro,,40.00,,paw-print-intro-kit,Canvases|Intro
Pretzel Intro Kit,13ct intro,,40.00,,pretzel-intro-kit,Canvases|Intro
Shamrock Intro Kit,13ct intro,,40.00,,shamrock,Canvases|Intro|St. Paddy's Day
Whale Intro Kit,13ct intro,,40.00,,whale,Canvases|Intro
Anchor,18ct,55.00,70.00,+$15,anchor-18-mesh,Nautical|Canvases|18 Count Canvases
Aperol Spritz,18ct,55.00,70.00,+$15,aperol-spritz-18-mesh,Cocktails|Canvases|18 Count Canvases|Best Sellers
Black & Gold Hockey Jersey,18ct,55.00,70.00,+$15,black-gold-hockey-jersey-18-mesh,Boston|Canvases|18 Count Canvases
Boston Marathon Bib,18ct,55.00,70.00,+$15,boston-marathon-bib-18-mesh,Boston|Canvases|18 Count Canvases
Boston Terrier,18ct,40.00,50.00,+$10,boston-terrier,Boston|New England Sports|Canvases|Playful Pups|18 Count Canvases
Ciao Bella,18ct,50.00,65.00,+$15,ciao-bella,Canvases|18 Count Canvases|Phrases
Citgo Sign,18ct,55.00,70.00,+$15,citgo-sign,Boston|Canvases|18 Count Canvases
Comm Ave Street Sign,18ct,50.00,65.00,+$15,comm-ave-street-sign-18-mesh,Boston|Canvases|18 Count Canvases
Corgi,18ct,50.00,65.00,+$15,corgi,Canvases|Playful Pups|18 Count Canvases
Cosmopolitan,18ct,55.00,70.00,+$15,cosmopolitan-18-mesh,Cocktails|Canvases|18 Count Canvases|Best Sellers
Cowboy Pup,18ct,45.00,57.00,+$12,cowboy-pup,Canvases|Playful Pups|18 Count Canvases
Crab,18ct,55.00,70.00,+$15,crab,Nautical|Canvases|18 Count Canvases
Espresso Martini,18ct,55.00,70.00,+$15,espresso-martini-18-mesh,Cocktails|Canvases|18 Count Canvases
Farmers Market Pup,18ct,50.00,65.00,+$15,farmers-market-pup-1,Canvases|Playful Pups|18 Count Canvases
Fenway Frank,18ct,50.00,65.00,+$15,fenway-frank,Boston|New England Sports|Canvases|18 Count Canvases|Best Sellers
French Bulldog,18ct,45.00,57.00,+$12,farmers-market-pup,Canvases|Playful Pups|18 Count Canvases
Green Shamrock Hoodie,18ct,55.00,70.00,+$15,green-shamrock-hoodie-18-mesh,Boston|Canvases|St. Paddy's Day|18 Count Canvases
Heart Matchbox,18ct,40.00,50.00,+$10,heart-matchbox-18-mesh,Galentine's Day|Canvases|18 Count Canvases
Hydrangea,18ct,60.00,80.00,+$20,hydrangeas,Canvases|18 Count Canvases|Flowers|Best Sellers
Lighthouse,18ct,55.00,70.00,+$15,lighthouse-18-mesh,Nautical|Canvases|18 Count Canvases
Lobster,18ct,55.00,70.00,+$15,lobster-18-mesh,Nautical|Canvases|18 Count Canvases|Best Sellers
Lucky,18ct,50.00,65.00,+$15,lucky-18-mesh,Canvases|St. Paddy's Day|18 Count Canvases|Phrases
Martini,18ct,55.00,70.00,+$15,martini-18-mesh,Cocktails|Canvases|18 Count Canvases
New England vs Everyone,18ct,50.00,65.00,+$15,new-england-vs-everyone-18-mesh,New England Sports|Canvases|18 Count Canvases|Phrases
Newbury Street Sign,18ct,50.00,65.00,+$15,newbury-street-sign-18-mesh,Boston|Canvases|18 Count Canvases
Patriot Pl Street Sign,18ct,50.00,65.00,+$15,patriot-pl-street-sign-18-mesh,Boston|New England Sports|Canvases|18 Count Canvases
Pats #10 Jersey,18ct,45.00,57.00,+$12,pats-10-jersey-18-mesh,New England Sports|Canvases|18 Count Canvases
Pats Matchbox,18ct,45.00,57.00,+$12,pats-matchbox-18-mesh,New England Sports|Canvases|18 Count Canvases
Raincoat Pup,18ct,45.00,57.00,+$12,raincoat-pup,Canvases|Playful Pups|18 Count Canvases
Seashell,18ct,55.00,70.00,+$15,seashell-18-mesh,Nautical|Canvases|18 Count Canvases
Shamrock,18ct,55.00,70.00,+$15,shamrock-18-mesh,Canvases|St. Paddy's Day|18 Count Canvases
Shamrock Beer,18ct,50.00,65.00,+$15,shamrock-beer-18-mesh,Cocktails|Canvases|St. Paddy's Day|18 Count Canvases
Southie Sign,18ct,55.00,70.00,+$15,southie-sign,Boston|Canvases|18 Count Canvases
Summer Should Be Fun,18ct,60.00,80.00,+$20,summer-should-be-fun,Canvases|18 Count Canvases|Phrases
Tell Your Dog I Say Hi,18ct,55.00,70.00,+$15,tell-your-dog-i-say-hi,Canvases|18 Count Canvases|Phrases
Tulips,18ct,55.00,70.00,+$15,tulips,Canvases|18 Count Canvases|Flowers
Watermelon,18ct,45.00,57.00,+$12,watermelon,Canvases|Fruit|18 Count Canvases
