dmc,color_name,hex,thread_size,skeins_needed,yards_needed,design_count,designs
BLANC,White,#FCFCFC,5,446,5246,17,Après Ski (18ct) | Boston ornament | Boylston Street | Chill Cibes | Christmas kitty | Christmas lights dog | Cornucopia | Easy Rider | Elephant with Flowers | Experts Only | Flamingo with rose | Gingerbread House Ornament | Goose with Flower | Main St | Mass Ave. | Winter Weiner Dog (18ct) | emotional baggage
815,Medium Garnet,#7B1B25,5,324,4941,4,Boston ornament | Fenway Frank | Flamingo with rose | Lobster
909,Very Dark Emerald Green,#106038,5,288,5520,7,Boylston Street | Elephant with Flowers | Flamingo with rose | Goose with Flower | Hydrangea | Main St | Mass Ave.
437,Light Tan,#D0A068,5,252,5793,2,Cornucopia | Fenway Frank
3753,Ultra Very Light Antique Blue,#D8E8F0,5,216,3650,3,Gingerbread House Ornament | Hydrangea | Menorah
799,Medium Delft Blue,#5078B0,5,144,3570,3,Après Ski (18ct) | Boston ornament | Winter Weiner Dog (18ct)
813,Light Blue,#78A8C8,5,144,2837,1,Hydrangea
3325,Light Baby Blue,#B8D0E8,5,144,2586,1,Hydrangea
319,Very Dark Pistachio Green,#184828,5,144,1806,1,Hydrangea
817,Very Dark Coral Red,#B41C2D,5,108,1982,3,Boston ornament | Gingerbread House Ornament | Lobster
504,Very Light Blue Green,#C4DECC,5,108,2006,2,Christmas lights dog | emotional baggage
310,Black,#000000,5,102,2744,13,Boston ornament | Boylston Street | Christmas kitty | Christmas lights dog | Cornucopia | Elephant with Flowers | Flamingo with rose | Goose with Flower | Halloween cat | Main St | Mass Ave. | Spiderweb Ornament | Winter Weiner Dog (18ct)
311,Medium Navy Blue,#183868,5,94,1381,3,Gingerbread House Ornament | Jet  Lagged | Menorah
898,Very Dark Coffee Brown,#382010,5,86,571,2,Cornucopia | Gingerbread House Ornament
318,Light Steel Gray,#989898,5,72,856,1,Elephant with Flowers
604,Light Cranberry,#F793B2,5,72,1077,3,Elephant with Flowers | Flamingo with rose | Jet  Lagged
603,Cranberry,#FB4B7C,5,72,1641,2,Experts Only | Flamingo with rose
798,Dark Delft Blue,#3858A0,5,72,1239,1,Chill Cibes
906,Medium Parrot Green,#48A050,5,72,1248,2,Christmas lights dog | Easy Rider
209,Dark Lavender,#7858B0,5,58,1024,2,Christmas kitty | Spiderweb Ornament
159,Light Petrol Blue,#BCB5DE,5,37,982,1,Christmas kitty
905,Dark Parrot Green,#388040,5,36,327,1,Cornucopia
725,Medium Light Topaz,#F7D058,5,36,445,2,Cornucopia | Goose with Flower
816,Garnet,#971E2A,5,36,285,2,Boston ornament | Cornucopia
608,Bright Orange,#F85B20,5,36,189,1,Cornucopia
336,Navy Blue,#182858,5,36,871,2,Après Ski (18ct) | Winter Weiner Dog (18ct)
320,Medium Pistachio Green,#588858,5,36,351,2,Christmas kitty | Halloween cat
801,Dark Coffee Brown,#402818,5,36,459,2,Christmas kitty | Winter Weiner Dog (18ct)
413,Dark Pewter Gray,#484848,5,36,417,1,Christmas lights dog
741,Medium Tangerine,#F79848,5,29,745,2,Goose with Flower | Halloween cat
3799,Very Dark Pewter Gray,#383838,5,29,177,1,Halloween cat
444,Dark Lemon,#F7D718,5,24,643,5,Christmas kitty | Christmas lights dog | Elephant with Flowers | Fenway Frank | Gingerbread House Ornament
824,Very Dark Blue,#183858,5,18,467,1,Fenway Frank
500,Very Dark Blue Green,#1D362A,5,17,453,3,Boston ornament | Christmas lights dog | Gingerbread House Ornament
726,Light Topaz,#F7E078,5,10,254,3,Cornucopia | Halloween cat | Menorah
666,Bright Red,#E31D3D,5,9,237,3,Christmas kitty | Christmas lights dog | Flamingo with rose
834,Very Light Golden Olive,#D2B468,5,9,239,2,Boston ornament | Christmas kitty
471,Very Light Avocado Green,#9EB357,5,7,174,1,Cornucopia
996,Medium Electric Blue,#30B0E8,5,6,150,2,Christmas kitty | Elephant with Flowers
823,Dark Navy Blue,#101848,5,4,107,1,Boston ornament
938,Ultra Dark Coffee Brown,#301810,5,3,58,1,Goose with Flower
433,Medium Brown,#583018,5,3,72,1,Gingerbread House Ornament
03,Medium Tin,#B0B0B5,5,2,54,1,Boston ornament
33,Fuchsia,#C32278,5,2,35,1,Gingerbread House Ornament
3688,Medium Mauve,#DC7C86,5,2,41,2,Christmas kitty | Christmas lights dog
820,Very Dark Royal Blue,#101870,5,2,35,1,Christmas lights dog
